연월일시,pm10,pm2.5,오존,이산화질소,일산화탄소,아황산가스
2022-02-28:24,33,18,0.023,0.035,0.4,0.004
2022-02-28:23,44,27,0.009,0.055,0.8,0.004
2022-02-28:22,53,30,0.003,0.071,1.4,0.004
2022-02-28:21,58,33,0.003,0.069,1.1,0.005
2022-02-28:20,45,23,0.006,0.063,0.9,0.004
2022-02-28:19,45,24,0.013,0.052,0.6,0.004
2022-02-28:18,46,23,0.021,0.045,0.7,0.004
2022-02-28:17,46,21,0.031,0.035,0.6,0.005
2022-02-28:16,44,20,0.033,0.033,0.5,0.005
2022-02-28:15,42,22,0.034,0.031,0.5,0.004
2022-02-28:14,41,19,0.033,0.03,0.5,0.004
2022-02-28:13,42,18,0.031,0.03,0.6,0.005
2022-02-28:12,44,19,0.032,0.027,0.5,0.004
2022-02-28:11,43,21,0.026,0.031,0.6,0.004
2022-02-28:10,39,17,0.018,0.036,0.6,0.004
2022-02-28:09,43,20,0.01,0.044,0.6,0.002
2022-02-28:08,36,17,0.007,0.044,0.5,0.003
2022-02-28:07,35,17,0.01,0.04,0.5,0.003
2022-02-28:06,34,12,0.028,0.023,0.4,0.003
2022-02-28:05,35,13,0.035,0.015,0.4,0.003
2022-02-28:04,32,13,0.035,0.016,0.4,0.002
2022-02-28:03,34,12,0.036,0.015,0.4,0.002
2022-02-28:02,32,14,0.032,0.02,0.4,0.003
2022-02-28:01,32,13,0.03,0.023,0.4,0.002
2022-02-27:24,32,13,0.031,0.023,0.4,0.003
2022-02-27:23,33,15,0.029,0.026,0.4,0.003
2022-02-27:22,32,13,0.029,0.026,0.4,0.003
2022-02-27:21,35,14,0.034,0.025,0.5,0.003
2022-02-27:20,32,13,0.036,0.025,0.5,0.003
2022-02-27:19,34,13,0.041,0.019,0.4,0.003
2022-02-27:18,35,15,0.046,0.016,0.4,0.003
2022-02-27:17,38,17,0.046,0.014,0.4,0.003
2022-02-27:16,40,15,0.047,0.014,0.4,0.003
2022-02-27:15,38,16,0.046,0.013,0.4,0.004
2022-02-27:14,39,13,0.046,0.013,0.4,0.003
