Gender,Age,Height,Weight,BMI
Female,21,65.78331,112.9925,저체중
Female,35,71.51521,136.4873,정상
Female,27,69.39874,153.0269,정상
Male,24,68.2166,142.3354,정상
Female,18,67.78781,144.2971,정상
Female,22,68.69784,123.3024,저체중
Male,35,69.80204,141.4947,
Male,19,70.01472,136.4623,정상
Female,28,67.90265,112.3723,저체중
Male,25,66.78236,120.6672,정상
Male,34,,127.4516,
Female,28,67.62333,114.143,저체중
Male,21,68.30248,125.6107,정상
Male,25,67.11656,122.4618,정상
Female,27,68.27967,116.0866,저체중
Male,23,71.0916,139.9975,정상
Male,20,66.461,129.5023,정상
Female,31,68.64927,142.9733,정상
Male,19,71.23033,137.9025,정상
Female,32,67.13118,124.0449,정상
Male,22,67.83379,141.2807,정상
Female,32,68.87881,143.5392,정상
Female,31,63.48115,97.90191,저체중
Female,35,68.42187,129.5027,정상
Male,29,67.62804,141.8501,정상
Male,24,67.20864,129.7244,정상
Male,21,70.84235,142.4235,정상
Male,25,67.49434,131.5502,정상
Male,30,66.53401,108.3324,저체중
Female,31,65.44098,113.8922,정상
Female,25,69.5233,103.3016,저체중
Female,25,65.8132,120.7536,정상
Female,26,67.8163,125.7886,정상
Male,21,70.59505,136.2225,정상
Female,26,71.80484,140.1015,정상
Female,27,69.20613,128.7487,정상
Female,30,66.80368,141.7994,정상
Female,21,67.65893,121.2319,정상
Male,26,67.80701,131.3478,정상
Female,23,64.04535,106.7115,저체중
Female,23,68.57463,124.3598,정상
Female,31,65.18357,124.8591,정상
Male,18,69.65814,139.6711,정상
Female,19,67.96731,137.3696,정상
Male,28,65.98088,106.4499,저체중
Female,27,68.67249,128.7639,정상
Male,18,66.88088,145.6837,정상
Male,31,67.69868,116.819,저체중
Male,21,69.82117,,
Male,34,69.08817,134.9325,정상
Female,34,69.91479,147.0219,정상
Male,28,67.33182,126.3285,정상
Male,29,70.26939,125.4839,저체중
Female,30,69.10344,115.7084,저체중
Male,27,65.38356,123.4892,
Male,24,70.18447,147.8926,정상
Female,28,70.40617,155.8987,정상
Female,26,66.54376,128.0742,정상
Female,18,66.36418,119.3701,정상
Female,32,67.537,133.8148,정상
Male,22,66.50418,128.7325,정상
Male,21,68.99958,137.5453,정상
Female,19,68.30355,129.7604,정상
Female,24,67.01255,128.824,정상
Male,22,70.80592,135.3165,정상
Female,26,68.21951,109.6113,저체중
Male,28,69.05914,142.4684,정상
Male,34,67.73103,132.749,정상
Female,31,67.21568,103.5275,저체중
Female,26,,124.7299,
Male,23,65.27033,129.3137,정상
Female,35,70.84278,134.0175,정상
Female,34,69.92442,140.3969,정상
Male,22,64.28508,102.8351,저체중
Female,19,68.2452,128.5214,정상
Female,32,66.35708,120.2991,정상
Female,19,68.36275,138.6036,정상
Male,34,65.4769,132.9574,정상
Male,21,69.71947,115.6233,저체중
Male,19,67.72554,122.524,정상
Male,34,68.63941,134.6254,정상
Female,23,66.78405,121.8986,정상
Male,31,70.05147,155.3767,정상
Male,21,66.27848,128.9418,정상
Female,22,69.20198,129.1013,정상
Female,32,69.13481,139.4733,정상
Female,24,67.36436,140.8901,정상
Female,27,70.09297,131.5916,정상
Male,30,70.1766,121.1232,저체중
Male,27,68.22556,131.5127,정상
Female,22,68.12932,136.5479,정상
Female,20,70.24256,141.4896,정상
Female,34,71.48752,140.6104,정상
Female,33,69.20477,112.1413,저체중
Female,26,70.06306,133.457,정상
Male,32,70.55703,131.8001,정상
Male,18,66.28644,120.0285,정상
Female,34,63.42577,123.0972,정상
Female,23,66.76711,128.1432,정상
Male,21,68.88741,115.4759,저체중
Female,19,64.87434,102.0927,저체중
Male,21,67.09272,130.353,정상
Female,30,68.34761,134.1842,정상
Female,21,65.61073,98.64133,저체중
Female,18,67.75551,114.5599,저체중
Male,31,68.0212,123.4917,정상
Female,21,67.66193,123.048,정상
Female,28,66.3146,126.4772,정상
Female,27,69.43706,128.417,정상
Male,30,63.83624,127.1941,정상
Female,29,67.72277,122.0562,정상
Male,34,70.05098,127.6064,저체중
Female,32,70.18602,131.6423,정상
Female,24,65.94588,111.8955,저체중
Male,31,70.007,122.039,저체중
Female,19,68.61129,128.5547,정상
Male,23,68.80817,132.6792,정상
Female,33,69.76212,136.0632,정상
Male,34,65.45539,115.9403,정상
Female,28,68.82534,136.9041,정상
Female,34,65.8003,119.8804,정상
