구분,급식_메뉴_이름,급식_메뉴_종류,배식량_단위g,잔반량_단위g,학생별_섭취율_정도,메뉴별_평균섭취율,종류별_평균섭취율,메뉴별_평균잔반율,종류별_평균잔반율
1,스파게티,면류,175,147,낮음,67,67,67,67
2,치킨케이준샐러드,반찬류,132,84,보통,51,59,59,59
3,오이피클,반찬류,52,26,보통,54,59,59,59
4,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
5,스파게티,면류,168,7,높음,67,67,67,67
6,치킨케이준샐러드,반찬류,108,84,낮음,51,59,59,59
7,오이피클,반찬류,52,18,보통,54,59,59,59
8,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
9,스파게티,면류,154,7,높음,67,67,67,67
10,치킨케이준샐러드,반찬류,96,0,높음,51,59,59,59
11,오이피클,반찬류,26,0,높음,54,59,59,59
12,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
13,스파게티,면류,161,105,보통,67,67,67,67
14,치킨케이준샐러드,반찬류,96,60,보통,51,59,59,59
15,오이피클,반찬류,52,0,높음,54,59,59,59
16,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
17,스파게티,면류,175,175,낮음,67,67,67,67
18,치킨케이준샐러드,반찬류,84,0,높음,51,59,59,59
19,오이피클,반찬류,26,18,보통,54,59,59,59
20,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
21,스파게티,면류,182,133,보통,67,67,67,67
22,치킨케이준샐러드,반찬류,120,96,낮음,51,59,59,59
23,오이피클,반찬류,26,0,높음,54,59,59,59
24,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
25,스파게티,면류,182,119,보통,67,67,67,67
26,치킨케이준샐러드,반찬류,60,0,높음,51,59,59,59
27,오이피클,반찬류,52,26,보통,54,59,59,59
28,과일쥬스(사과),후식류,80,50,보통,85,73,73,73
29,스파게티,면류,182,56,보통,67,67,67,67
30,치킨케이준샐러드,반찬류,120,96,낮음,51,59,59,59
31,오이피클,반찬류,52,0,높음,54,59,59,59
32,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
33,스파게티,면류,168,168,낮음,67,67,67,67
34,치킨케이준샐러드,반찬류,108,108,낮음,51,59,59,59
35,오이피클,반찬류,52,0,높음,54,59,59,59
36,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
37,스파게티,면류,175,133,낮음,67,67,67,67
38,치킨케이준샐러드,반찬류,120,72,보통,51,59,59,59
39,오이피클,반찬류,26,0,높음,54,59,59,59
40,과일쥬스(사과),후식류,80,80,낮음,85,73,73,73
41,스파게티,면류,161,14,높음,67,67,67,67
42,치킨케이준샐러드,반찬류,108,0,높음,51,59,59,59
43,오이피클,반찬류,52,0,높음,54,59,59,59
44,과일쥬스(사과),후식류,80,0,높음,85,73,73,73
45,스파게티,면류,161,70,보통,67,67,67,67
